authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,channelId,videoId,textDisplay,textOriginal,parentId,canRate,viewerRating,likeCount,moderationStatus,publishedAt,updatedAt
Kanzi Plays Roblox,https://yt3.ggpht.com/fDW0T7ODGpTjw9MU0J38YHbHGMaPD85GkVkcaNvbVU5tXlWqSVxQ9p-6EyO63srNRagzRbYDFgM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCF_Iho8yslLtt_F6vdOO_Yw,{'value': 'UCF_Iho8yslLtt_F6vdOO_Yw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,I ALMOST SAID PI**ANT AT THE EGGPLAND 😢🫣😭😭😭 team GIRLS<br>😭,"I ALMOST SAID PI**ANT AT THE EGGPLAND 😢🫣😭😭😭 team GIRLS
😭",,True,none,0,,2023-10-05T22:02:16Z,2023-10-05T22:02:16Z
 Felicity <3,https://yt3.ggpht.com/ytc/APkrFKbufYNUwS6JcrmeB1nHayF4uh7Cp_45A4g85x0mJLJa8w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCnqGbzl-bqCYIw9oMkM3kNw,{'value': 'UCnqGbzl-bqCYIw9oMkM3kNw'},UCAQg09FkoobmLquNNoO4ulg,jU3bd_vTJdk,never met a british person who talks like that<br>i am british,"never met a british person who talks like that
i am british",,True,none,0,,2023-10-05T21:38:21Z,2023-10-05T21:38:21Z
GeordieS,https://yt3.ggpht.com/p7irEcFI6nTmRB7nM-4xt1RX8SPL_07lomaCqW40GlTLuU0SJu_BV3ydEwcIcQuGyQTBmPbr9w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC1iFW6n71qPSFEP_bXHAviA,{'value': 'UC1iFW6n71qPSFEP_bXHAviA'},UCAQg09FkoobmLquNNoO4ulg,BjdujZKbIaQ,Australia is kind of both:<br>Zucchini <br>Torch<br>Rubbish bin<br>Petrol station<br>Mobile phone,"Australia is kind of both:
Zucchini 
Torch
Rubbish bin
Petrol station
Mobile phone",,True,none,0,,2023-10-05T21:35:48Z,2023-10-05T21:35:48Z
 Felicity <3,https://yt3.ggpht.com/ytc/APkrFKbufYNUwS6JcrmeB1nHayF4uh7Cp_45A4g85x0mJLJa8w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCnqGbzl-bqCYIw9oMkM3kNw,{'value': 'UCnqGbzl-bqCYIw9oMkM3kNw'},UCAQg09FkoobmLquNNoO4ulg,vu73mVEgI6k,do you have a pen?<br>no,"do you have a pen?
no",,True,none,0,,2023-10-05T21:26:36Z,2023-10-05T21:26:36Z
Marcelina Zagrodzka,https://yt3.ggpht.com/MgxrYq7onvUShpTlLWEr09uBP7nMwEVCSFF_0JZYdY1WT_Fdh-hHMTPUaH3i5jeWW7sUVENpWHA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCqEK3sj4VJw6wtiucKPWFBw,{'value': 'UCqEK3sj4VJw6wtiucKPWFBw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Me I am British and American,Me I am British and American,,True,none,0,,2023-10-05T21:16:25Z,2023-10-05T21:16:25Z
Ognjen Dimitrijevic,https://yt3.ggpht.com/ytc/APkrFKan03DaOeUmZkw81nCBlrIqVhobYwuI6mXZVQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC_ulVsigh8J9jCwaB3PhO5A,{'value': 'UC_ulVsigh8J9jCwaB3PhO5A'},UCAQg09FkoobmLquNNoO4ulg,O2bQN4JSrd8,Very good.,Very good.,,True,none,0,,2023-10-05T21:01:11Z,2023-10-05T21:01:11Z
amir zekry,https://yt3.ggpht.com/MWfCMXNpDDilCEMio0BTAL2EYXLdIZVz5guA2yWJNjBLzXa8WpuwydI9pzI6jgN9LfHVOODgMYw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCy4l_BAki03CFNnhq2FeO6g,{'value': 'UCy4l_BAki03CFNnhq2FeO6g'},UCAQg09FkoobmLquNNoO4ulg,jU3bd_vTJdk,U said &quot;interrupting&quot; in an American accent 😂💔,"U said ""interrupting"" in an American accent 😂💔",,True,none,0,,2023-10-05T20:49:07Z,2023-10-05T20:49:07Z
sarah.drawing,https://yt3.ggpht.com/9k0XoLl9KCWkX-n7RbXjbN3eb7W_RVnISR30SGl1A-039NuZO8Ixvohj6KEOwWUygBj8UMecrXw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCbkfkVTEQwHcnbzUqfu6XOw,{'value': 'UCbkfkVTEQwHcnbzUqfu6XOw'},UCAQg09FkoobmLquNNoO4ulg,7og3c1WleZY,Wow shocked that I&#39;m still at A2😂 i thought i was at B2,Wow shocked that I'm still at A2😂 i thought i was at B2,,True,none,1,,2023-10-05T20:30:48Z,2023-10-05T20:30:48Z
Mamoni Das,https://yt3.ggpht.com/GyP9aODFqrqpM97tNKz5QNuleipmMlxd5Rde79u-8PmJSLYSZ1zPnONplXyLGDwUoAKH-7u3CA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCQAnBVYVND8vOhYeSLjROcw,{'value': 'UCQAnBVYVND8vOhYeSLjROcw'},UCAQg09FkoobmLquNNoO4ulg,BjdujZKbIaQ,Attention is a hell of a cucumber 🥒,Attention is a hell of a cucumber 🥒,,True,none,0,,2023-10-05T20:25:32Z,2023-10-05T20:25:32Z
MassimilianoBanana Pillitu,https://yt3.ggpht.com/qvec3r5whIHnLqF51dvMlPPK8Go7ySf3d_J4HHRUt27XPQbaX8Bxh07vSU6xnyIrAdFs4H-G=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCfP8vDhtz2vKsd7KqDx-Bkw,{'value': 'UCfP8vDhtz2vKsd7KqDx-Bkw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,me at the last one:<br>PENIS-NOOOO NOO,"me at the last one:
PENIS-NOOOO NOO",,True,none,0,,2023-10-05T20:17:56Z,2023-10-05T20:17:56Z
Cyan,https://yt3.ggpht.com/9zUzST_JvU4XiALk3cgRZXy_AqKv55A3AG05Lc0ZiFOngnL8psEF0yIT4WNDG0L8H9_suQluhwo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCt5-kwZCIC-XybawDEBvLgQ,{'value': 'UCt5-kwZCIC-XybawDEBvLgQ'},UCAQg09FkoobmLquNNoO4ulg,7og3c1WleZY,i used &#39;away&#39; instead of &#39;aside&quot;. Is it incorrect?,"i used 'away' instead of 'aside"". Is it incorrect?",,True,none,0,,2023-10-05T20:09:15Z,2023-10-05T20:09:25Z
Gabriel De León,https://yt3.ggpht.com/ytc/APkrFKZayvZCVnlfVEucdRgKpWLG39fSeQ5d0tOzyA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCFEXx_xoaDDmYfI5p7gd3LQ,{'value': 'UCFEXx_xoaDDmYfI5p7gd3LQ'},UCAQg09FkoobmLquNNoO4ulg,U4cIssgL3VE,Network can&#39;t talk with other person  personally in every place so is still nacesary learn lenguages.,Network can't talk with other person  personally in every place so is still nacesary learn lenguages.,,True,none,2,,2023-10-05T19:53:05Z,2023-10-05T19:53:35Z
Alessandro,https://yt3.ggpht.com/vTIJiX_s0VM8qwrEa53RrCkdl4lnDgIpQOQlom9hw7Ze47528UNyP-tQu7pHW4wzpILNknoKruA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCUZh_YMihWuStGEK0ctgL-g,{'value': 'UCUZh_YMihWuStGEK0ctgL-g'},UCAQg09FkoobmLquNNoO4ulg,7og3c1WleZY,The military...,The military...,,True,none,0,,2023-10-05T19:51:25Z,2023-10-05T19:51:25Z
Lia,https://yt3.ggpht.com/ytc/APkrFKYnHDpTSOWnjCoym3HZBMyiGUXBcrRJZw-LFw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCDSY3mhg8Y-opZdUQUVJOkw,{'value': 'UCDSY3mhg8Y-opZdUQUVJOkw'},UCAQg09FkoobmLquNNoO4ulg,Xf0_eAAufQs,Hi marina from Italy,Hi marina from Italy,,True,none,0,,2023-10-05T19:37:01Z,2023-10-05T19:37:01Z
Anzila_ collection,https://yt3.ggpht.com/ZDImmQMlC4eclUU0ybANW3KZg5c2Rey-fZwph8KZgUHSoc96_UWDJcPL0d_986gSIOPmX_SHYQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCyjaPsUIKJJBEuiIam2nVGw,{'value': 'UCyjaPsUIKJJBEuiIam2nVGw'},UCAQg09FkoobmLquNNoO4ulg,ndJ7JGXwQzQ,You both are mind-blowing 💫💫,You both are mind-blowing 💫💫,,True,none,0,,2023-10-05T19:35:27Z,2023-10-05T19:35:27Z
Abigail Summerfield,https://yt3.ggpht.com/ekUgylJWnV6MkrM5fGpfgumEwLJ_hn5-1HO-XAdnd9NKzkVZ7SdndtqmxLPEI1MICqj1BzfNbw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCvo2paBhSixRJznBx0cZySA,{'value': 'UCvo2paBhSixRJznBx0cZySA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,I’m british,I’m british,,True,none,0,,2023-10-05T19:30:08Z,2023-10-05T19:30:08Z
Ella's tube diary,https://yt3.ggpht.com/CyhdpKmaBG2HbCU_63eDOHCTeXCj_5luJ2QrWgAughpdg-owlXblAvFdFTRSwn_GjBdKdGR5ew=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCoHwZ5BHBhyqof6Ax7HN3Kw,{'value': 'UCoHwZ5BHBhyqof6Ax7HN3Kw'},UCAQg09FkoobmLquNNoO4ulg,U4cIssgL3VE,cool accent Marina,cool accent Marina,,True,none,0,,2023-10-05T19:01:57Z,2023-10-05T19:01:57Z
Connor,https://yt3.ggpht.com/Wvob5vZjaejnF4nZvT3FPA9myCdRdOIPRFfKEmFeWmEdJcTVZ2paJTXccN9adsuSJf90T6YQZQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCy4m0UApIPw8CSsYB1smokg,{'value': 'UCy4m0UApIPw8CSsYB1smokg'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,I speak both,I speak both,,True,none,0,,2023-10-05T18:46:50Z,2023-10-05T18:46:50Z
Жогалко Єва,https://yt3.ggpht.com/ytc/APkrFKakhSPf-gVh2rCaQUu_iKpWE07RvikflMm2IdLaIw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC3mOAsEjtZZkqbRpS7s8iug,{'value': 'UC3mOAsEjtZZkqbRpS7s8iug'},UCAQg09FkoobmLquNNoO4ulg,7og3c1WleZY,"B1,thank you very much for this helpful video😊","B1,thank you very much for this helpful video😊",,True,none,0,,2023-10-05T18:35:51Z,2023-10-05T18:35:51Z
Marjo Helenius,https://yt3.ggpht.com/ytc/APkrFKYSNufhHFgCRlfzGWtS0qqLld4OnDO7nQhWJuvX7g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC_0BeupDsgTCE8mRa7M-MNg,{'value': 'UC_0BeupDsgTCE8mRa7M-MNg'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,I was thinking that was pe,I was thinking that was pe,,True,none,0,,2023-10-05T18:26:54Z,2023-10-05T18:26:54Z
nishi kesarwani,https://yt3.ggpht.com/ytc/APkrFKY-j4rHNeK8waH4DSxlKF0kKE7NeMVxyIsUPsvzJrs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCHcJ2huldTOyISc_55EJWtQ,{'value': 'UCHcJ2huldTOyISc_55EJWtQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,American: Eggplant🤔🤔<br>British: Aubergine😶😶<br><br>Me be like: Brinjal😂😂😶😶,"American: Eggplant🤔🤔
British: Aubergine😶😶

Me be like: Brinjal😂😂😶😶",,True,none,1,,2023-10-05T18:17:40Z,2023-10-05T18:17:40Z
lee liahagen,https://yt3.ggpht.com/ytc/APkrFKafGMQs_gO9MKowJ8-4yMKpW2dfOfcKhunMOg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCWvodpCqOZJmXOE6l0O5ClQ,{'value': 'UCWvodpCqOZJmXOE6l0O5ClQ'},UCAQg09FkoobmLquNNoO4ulg,BjdujZKbIaQ,🇹🇭,🇹🇭,,True,none,0,,2023-10-05T18:13:19Z,2023-10-05T18:13:19Z
Theophila Woisso,https://yt3.ggpht.com/ytc/APkrFKbcIpczz3-H_sG3EapnQXoE90BLfoIunEW3Me7dlJubA5ihfA8v_ZQ67j8xhzA8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCSKBWB62ZyAJLqeXYlbDIiw,{'value': 'UCSKBWB62ZyAJLqeXYlbDIiw'},UCAQg09FkoobmLquNNoO4ulg,BjdujZKbIaQ,Zucchini  in American English courgette in great British<br>Me.. c u c u m b e r🥒,"Zucchini  in American English courgette in great British
Me.. c u c u m b e r🥒",,True,none,0,,2023-10-05T17:58:22Z,2023-10-05T17:58:22Z
Creative Pahadi,https://yt3.ggpht.com/ZZky7F7QJtljEPD5kYu3nWKgVKNw7y4uh-ENsm4o-k2FHPTdt7vmOepWL2iEDnOyMe7p_nlH9A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCFNUPJMTFoD1ANIFLrIM08Q,{'value': 'UCFNUPJMTFoD1ANIFLrIM08Q'},UCAQg09FkoobmLquNNoO4ulg,7og3c1WleZY,B2,B2,,True,none,0,,2023-10-05T17:44:21Z,2023-10-05T17:44:21Z
Techno gamer,https://yt3.ggpht.com/t4MnyIQ7KKrwQGOgjeEiru2ozj9F5ikVBbYA055AmcNueUIo3mimXM_SshWgLdqq_Fg5Av90YA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCMlDUn1e2jrUoAtsJ5qMn6A,{'value': 'UCMlDUn1e2jrUoAtsJ5qMn6A'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,American: egg plant          British: Aubergine. Me: baingan hi I am from India,American: egg plant          British: Aubergine. Me: baingan hi I am from India,,True,none,0,,2023-10-05T17:36:54Z,2023-10-05T17:36:54Z
Rose boba🧋,https://yt3.ggpht.com/SdmrAuSYhtg5M6IJERLN8zp4h1B8owl1s_yLMgEbb9JFz15JDn-FrgPOBT8MjJ16Z-NDgRvIeQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCN0S1eglUOk6a8tKfuqGTLg,{'value': 'UCN0S1eglUOk6a8tKfuqGTLg'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,I speak American BUT muslim,I speak American BUT muslim,,True,none,0,,2023-10-05T17:34:09Z,2023-10-05T17:34:09Z
